NeuronType,MFs,Accuracy Mean,Accuracy Std,Fscore Mean,Fscore Std,Recall Mean,Recall Std,Precision Mean,Precision Std
andneuron,2,0.956,0.000,0.967,0.000,1.000,0.000,0.935,0.000
andneuron,3,0.733,0.000,0.769,0.000,0.690,0.000,0.870,0.000
andneuron,4,0.551,0.072,0.607,0.096,0.552,0.131,0.685,0.041
orneuron,2,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000
orneuron,3,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000
orneuron,4,1.000,0.000,1.000,0.000,1.000,0.000,1.000,0.000
