,Seed,NeuronType,MFs,Accuracy,Fscore,Recall,Precision
0,0,andneuron,2,0.645,0.446,0.458,0.434
1,0,andneuron,3,0.602,0.465,0.556,0.4
2,0,orneuron,2,0.792,0.607,0.514,0.74
3,0,orneuron,3,0.775,0.587,0.514,0.685
4,1,andneuron,2,0.667,0.49,0.514,0.468
5,1,andneuron,3,0.558,0.446,0.569,0.366
6,1,orneuron,2,0.792,0.607,0.514,0.74
7,1,orneuron,3,0.775,0.587,0.514,0.685
